#OTU ID,LTEE.5..1,LTEE.5..2,LTEE.5..8,LTEE2.5.13,LTEE.5..4,LTEE.5..5,LTEE5.11,LTEE.5..6,LTEE.5..7,LTEE5.12,LTEE.5..3,LTEE5.9,LTEE.6..1,LTEE.6..2,LTEE.6..8,LTEE2.6.13,LTEE.6..4,LTEE.6..5,LTEE.6..6,LTEE.6..7,LTEE6.12,LTEE.6..3,LTEE6.9,LTEE7.2,LTEE.7..1,LTEE7.4,LTEE7.5,LTEE.7..6,LTEE7.3,LTEE.8..1,LTEE.8..2,LTEE.8..8,LTEE2.8.13,LTEE.8..4,LTEE.8..5,LTEE8.11,LTEE.8..6,LTEE.8..7,LTEE8.12,LTEE.8..3,LTEE8.9,LTEE.9..1,LTEE.9..2,LTEE.9..8,LTEE2.9.13,LTEE.9..4,LTEE.9..5,LTEE9.11,LTEE.9..7,LTEE2.9.12,LTEE.9..3,LTEE9.9,LTEE.13..1,LTEE.13..2,LTEE.13..8,LTEE.13..4,LTEE.13..5,LTEE13.11,LTEE.13..6,LTEE.13..7,LTEE.13..3,LTEE13.9,LTEE.16..1,LTEE.16..2,LTEE.16..8,LTEE.16..4,LTEE.16..5,LTEE16.11,LTEE.16..6,LTEE.16..7,LTEE2.16.12,LTEE.16..3,LTEE16.9,LTEE17.8,LTEE2.17.13,LTEE17.4,LTEE17.5,LTEE2.17.11,LTEE17.6,LTEE17.7,LTEE2.17.12,LTEE17.3,LTEE2.17.9,taxonomy
denovo52193,0,3,4,2,3,0,12,0,9,6,10,5,0,4,7,25,0,1,0,14,5,5,21,1,0,0,0,1,3,0,1,1,10,0,2,3,1,1,0,5,18,0,4,3,1,0,0,12,2,0,3,8,0,2,4,0,1,9,1,4,3,10,0,4,5,0,0,6,2,3,2,4,0,5,3,0,0,8,2,5,4,0,3,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__
denovo9916,417,255,71,140,38,39,8,118,104,87,2,27,151,170,51,0,98,17,92,6,9,9,81,117,346,22,134,46,183,382,78,13,41,37,87,85,59,105,28,2,2,323,53,29,26,138,24,31,28,46,80,67,395,85,149,3,40,5,67,279,0,82,91,20,12,18,16,16,86,39,69,76,225,36,30,18,77,69,28,28,26,4,207,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae
1123414,0,136,5,0,152,0,0,0,0,0,561,0,0,202,3,0,190,1,0,0,0,442,0,10,4,983,104,1,26,0,10,2,0,1,65,0,0,0,0,444,2,0,23,0,0,0,499,0,3,0,269,0,0,316,1,1,466,0,0,1,609,0,0,252,2,0,239,0,0,0,0,82,0,0,0,1,152,1,0,0,1,426,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Erwinia; s__
647775,23,7,13,164,19,31,0,17,14,56,1,6,10,10,19,1,18,13,35,6,8,3,13,96,21,41,82,30,90,18,26,22,261,33,39,20,38,43,101,5,0,38,34,33,312,40,3,8,16,351,15,33,22,5,21,8,7,0,12,23,1,23,27,2,18,36,30,3,37,26,308,23,69,23,291,64,25,15,79,18,253,11,269,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
4388545,12,14,2,0,18,7,0,6,18,2,112,106,4,2,0,11,23,0,16,1,7,6,3,6,6,1,7,16,8,0,5,1,0,7,3,59,10,4,2,9,77,0,3,1,0,11,3,12,1,0,3,16,0,53,4,822,26,16,1,9,35,129,27,56,0,1,15,5,1,0,0,4,9,2,1,281,8,10,2,2,0,5,23,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
676117,0,0,6,0,0,0,4,0,1,0,225,0,0,2,1,0,0,0,0,0,0,136,0,0,2,0,0,0,16,0,0,0,0,0,0,11,0,0,0,322,0,1,0,19,0,0,0,7,0,0,98,0,3,2,1,0,0,0,0,0,246,0,0,7,0,0,0,15,0,0,0,28,0,0,0,0,0,1,0,0,0,28,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__
denovo55920,4,17,19,7,1,2,12,0,13,14,3,17,34,18,8,0,7,4,2,4,11,11,28,0,6,2,0,1,3,27,1,1,3,0,2,30,1,4,0,6,0,4,0,0,1,5,8,30,2,0,12,14,4,37,14,1,9,13,9,15,2,27,3,3,3,1,1,5,1,6,1,1,4,5,0,3,19,18,0,9,0,0,3,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__; s__
219151,0,0,6,1,3,16,53,0,2,34,3,19,0,0,8,6,3,58,0,40,17,2,12,0,0,0,0,1,0,0,0,5,3,0,0,27,0,12,1,0,3,0,0,18,2,0,2,11,45,0,0,5,0,0,2,0,0,11,0,20,0,4,0,2,2,6,1,16,0,25,0,0,0,6,10,0,0,17,0,7,4,0,1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
2881877,24,98,955,273,340,3134,1025,151,95,328,37,802,32,175,973,3,1515,2008,1154,849,951,221,97,45,59,134,108,1585,21,6,110,50,70,107,207,1424,679,257,79,96,57,2,50,340,47,226,469,201,495,66,30,57,13,108,243,2075,157,865,704,177,5,231,66,15,57,435,415,477,263,407,29,53,69,381,75,1861,1495,667,148,123,169,48,60,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
1141330,0,0,0,0,1,0,1,0,0,6,1,0,1680,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,128,5,0,0,0,9,69,0,0,6,0,0,0,0,4,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,0,2,10,0,1,0,0,8,1,0,0,0,1,0,0,0,0,35,1,0,0,0,0,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__u114; s__
