#OTU ID,LTEE.5..1,LTEE.5..2,LTEE.5..8,LTEE2.5.13,LTEE.5..4,LTEE.5..5,LTEE5.11,LTEE.5..6,LTEE.5..7,LTEE5.12,LTEE.5..3,LTEE5.9,LTEE.6..1,LTEE.6..2,LTEE.6..8,LTEE2.6.13,LTEE.6..4,LTEE.6..5,LTEE.6..6,LTEE.6..7,LTEE6.12,LTEE.6..3,LTEE6.9,LTEE7.2,LTEE.7..1,LTEE7.4,LTEE7.5,LTEE.7..6,LTEE7.3,LTEE.8..1,LTEE.8..2,LTEE.8..8,LTEE2.8.13,LTEE.8..4,LTEE.8..5,LTEE8.11,LTEE.8..6,LTEE.8..7,LTEE8.12,LTEE.8..3,LTEE8.9,LTEE.9..1,LTEE.9..2,LTEE.9..8,LTEE2.9.13,LTEE.9..4,LTEE.9..5,LTEE9.11,LTEE.9..7,LTEE2.9.12,LTEE.9..3,LTEE9.9,LTEE.13..1,LTEE.13..2,LTEE.13..8,LTEE.13..4,LTEE.13..5,LTEE13.11,LTEE.13..6,LTEE.13..7,LTEE.13..3,LTEE13.9,LTEE.16..1,LTEE.16..2,LTEE.16..8,LTEE.16..4,LTEE.16..5,LTEE16.11,LTEE.16..6,LTEE.16..7,LTEE2.16.12,LTEE.16..3,LTEE16.9,LTEE17.8,LTEE2.17.13,LTEE17.4,LTEE17.5,LTEE2.17.11,LTEE17.6,LTEE17.7,LTEE2.17.12,LTEE17.3,LTEE2.17.9,MEAN
4320368,0.548275862,0.3,0.303448276,0.224137931,0.134482759,0.220689655,0.003448276,0.137931034,0.213793103,0.168965517,0.065517241,0.251724138,0.475862069,0.2,0.479310345,0,0.451724138,0.065517241,0.720689655,0.179310345,0.1,0.055172414,0.213793103,0.155172414,0.210344828,0.017241379,0.082758621,0.593103448,0.031034483,0.94137931,0.196551724,0.186206897,0.051724138,0.068965517,0.179310345,0.372413793,0.310344828,0.224137931,0.072413793,0.044827586,0.010344828,0.048275862,0.089655172,0.237931034,0.068965517,0.15862069,0.037931034,0.086206897,0.303448276,0.079310345,0.031034483,0.175862069,0.196551724,0.296551724,0.168965517,0.024137931,0.055172414,0.006896552,0.096551724,0.231034483,0.013793103,0.227586207,0.689655172,0.262068966,0.172413793,0.268965517,0.151724138,0.082758621,0.25862069,0.272413793,0.065517241,0.082758621,0.086206897,0.34137931,0.086206897,0.051724138,0.351724138,0.14137931,0.14137931,0.151724138,0.117241379,0.027586207,0.148275862,0.190943083
4456068,0,0.037931034,0.351724138,0.127586207,0,0.003448276,0.927586207,0.003448276,0.327586207,0.24137931,0.234482759,0.465517241,0,0.072413793,0.189655172,0.572413793,0.003448276,0.665517241,0,0.665517241,0.789655172,0.217241379,0.517241379,0.013793103,0,0.003448276,0,0.017241379,0.006896552,0,0.027586207,0.224137931,0.068965517,0.003448276,0.003448276,0.279310345,0.006896552,0.05862069,0.003448276,0.144827586,0.851724138,0.031034483,0.003448276,0.217241379,0.013793103,0.003448276,0.006896552,0.755172414,0.224137931,0.003448276,0.144827586,0.427586207,0,0.165517241,0.168965517,0,0.006896552,0.855172414,0.048275862,0.175862069,0.193103448,0.562068966,0.003448276,0.093103448,0.424137931,0,0.003448276,0.872413793,0.031034483,0.131034483,0.020689655,0.024137931,0.110344828,0.475862069,0.037931034,0.017241379,0.006896552,0.25862069,0.017241379,0.510344828,0.086206897,0.186206897,0.04137931,0.186580806
647775,0.079310345,0.024137931,0.044827586,0.565517241,0.065517241,0.106896552,0,0.05862069,0.048275862,0.193103448,0.003448276,0.020689655,0.034482759,0.034482759,0.065517241,0.003448276,0.062068966,0.044827586,0.120689655,0.020689655,0.027586207,0.010344828,0.044827586,0.331034483,0.072413793,0.14137931,0.282758621,0.103448276,0.310344828,0.062068966,0.089655172,0.075862069,0.9,0.113793103,0.134482759,0.068965517,0.131034483,0.148275862,0.348275862,0.017241379,0,0.131034483,0.117241379,0.113793103,1.075862069,0.137931034,0.010344828,0.027586207,0.055172414,1.210344828,0.051724138,0.113793103,0.075862069,0.017241379,0.072413793,0.027586207,0.024137931,0,0.04137931,0.079310345,0.003448276,0.079310345,0.093103448,0.006896552,0.062068966,0.124137931,0.103448276,0.010344828,0.127586207,0.089655172,1.062068966,0.079310345,0.237931034,0.079310345,1.003448276,0.220689655,0.086206897,0.051724138,0.272413793,0.062068966,0.872413793,0.037931034,0.927586207,0.169713336
412392,0.544827586,0.068965517,0.213793103,0.248275862,0.155172414,0.265517241,0,0.14137931,0.062068966,0.148275862,0.017241379,0.127586207,0.448275862,0.193103448,0.427586207,0.003448276,0.393103448,0.1,0.748275862,0.093103448,0.05862069,0.044827586,0.013793103,0.05862069,0.213793103,0.044827586,0.044827586,0.762068966,0.027586207,1.134482759,0.120689655,0.027586207,0.065517241,0.106896552,0.162068966,0.255172414,0.417241379,0.203448276,0.124137931,0.017241379,0,0.068965517,0.044827586,0.210344828,0.093103448,0.206896552,0.055172414,0.020689655,0.14137931,0.155172414,0.013793103,0.04137931,0.231034483,0.024137931,0.131034483,0.010344828,0.037931034,0.013793103,0.075862069,0.117241379,0.003448276,0.062068966,0.720689655,0.010344828,0.024137931,0.313793103,0.165517241,0.027586207,0.203448276,0.227586207,0.065517241,0.062068966,0.051724138,0.131034483,0.151724138,0.051724138,0.365517241,0.103448276,0.1,0.05862069,0.179310345,0,0.134482759,0.159160781
4369970,0.020689655,0.1,0.024137931,0.003448276,0.127586207,0.275862069,0.006896552,0.155172414,0.031034483,0.048275862,0.224137931,1.268965517,0.010344828,0.017241379,0.017241379,0.124137931,0.403448276,0.334482759,0.324137931,0,0.034482759,0.013793103,0.203448276,0.04137931,0.010344828,0.027586207,0.431034483,0.175862069,0.044827586,0.003448276,0.031034483,0.031034483,0.010344828,0.162068966,0.351724138,1.003448276,0.017241379,0.010344828,0.013793103,0.096551724,1.155172414,0.006896552,0.020689655,0.006896552,0.003448276,0.137931034,0.093103448,0.134482759,0,0.003448276,0.010344828,0.162068966,0.006896552,0.268965517,0.013793103,0.196551724,0.755172414,0.089655172,0.044827586,0.013793103,0.213793103,1.479310345,0.148275862,0.210344828,0.010344828,0.04137931,0.165517241,0.068965517,0.017241379,0.003448276,0.003448276,0.024137931,0.25862069,0.013793103,0.006896552,0.5,0.127586207,0.096551724,0.006896552,0.010344828,0.003448276,0.04137931,0.248275862,0.157291234
269930,0,0,0.379310345,0.45862069,0.003448276,0.006896552,0.268965517,0,0.213793103,0.155172414,0.006896552,0.327586207,0,0,0.15862069,0.672413793,0,2.206896552,0.003448276,0.45862069,0.234482759,0.003448276,0.386206897,0,0.003448276,0,0,0.065517241,0,0,0,0.189655172,0.131034483,0,0,0.155172414,0.086206897,0.031034483,0.027586207,0,0.551724138,0.027586207,0,0.255172414,0.034482759,0,0,0.34137931,0.196551724,0.010344828,0,0.331034483,0,0,0.127586207,0,0.003448276,0.44137931,0.786206897,0.131034483,0,0.35862069,0,0,0.3,0,0,0.362068966,0.024137931,0.168965517,0.013793103,0.003448276,0.062068966,0.375862069,0.020689655,0.013793103,0,0.113793103,0.017241379,0.282758621,0.027586207,0.003448276,0.04137931,0.145326132
1145138,0.120689655,0.106896552,0.1,0.14137931,0.172413793,0.134482759,0.006896552,0.255172414,0.106896552,0.113793103,0.003448276,0.024137931,0.037931034,0.103448276,0.155172414,0.003448276,0.151724138,0.05862069,0.296551724,0.037931034,0.068965517,0.020689655,0.044827586,0.303448276,0.103448276,0.193103448,0.210344828,0.282758621,0.231034483,0.082758621,0.306896552,0.148275862,0.279310345,0.251724138,0.251724138,0.079310345,0.293103448,0.224137931,0.24137931,0.034482759,0.006896552,0.24137931,0.244827586,0.203448276,0.24137931,0.313793103,0.031034483,0.04137931,0.14137931,0.282758621,0.082758621,0.079310345,0.120689655,0.034482759,0.162068966,0.05862069,0.024137931,0.006896552,0.075862069,0.124137931,0.003448276,0.062068966,0.189655172,0.003448276,0.124137931,0.293103448,0.224137931,0.003448276,0.213793103,0.168965517,0.275862069,0.165517241,0.220689655,0.075862069,0.248275862,0.144827586,0.124137931,0.010344828,0.279310345,0.044827586,0.265517241,0.031034483,0.265517241,0.141420856
denovo25227,0,0.268965517,0.217241379,0.231034483,0.172413793,0,0.003448276,0,0.231034483,0.289655172,0.072413793,0.175862069,0,0.344827586,0.327586207,0.003448276,0.103448276,0.072413793,0.034482759,0.124137931,0.162068966,0.117241379,0.420689655,0.14137931,0.003448276,0.089655172,0.062068966,0.006896552,0.14137931,0,0.044827586,0.468965517,0.210344828,0.003448276,0.062068966,0.24137931,0.04137931,0.14137931,0.027586207,0.14137931,0.024137931,0.037931034,0.148275862,0.217241379,0.168965517,0.003448276,0.04137931,0.106896552,0.306896552,0,0.237931034,0.272413793,0,0.14137931,0.317241379,0,0.037931034,0.013793103,0.062068966,0.268965517,0.010344828,0.220689655,0,0.024137931,0.310344828,0.003448276,0.106896552,0.051724138,0.237931034,0.293103448,0.155172414,0.306896552,0.234482759,0.386206897,0.251724138,0,0.113793103,0.05862069,0.182758621,0.293103448,0.334482759,0.103448276,0.113793103,0.137349398
4454257,0,0.055172414,0.127586207,0.027586207,0.162068966,0,0.2,0,0.14137931,0.089655172,0.234482759,0.165517241,0.003448276,0.055172414,0.120689655,0.137931034,0.355172414,0,0,0.431034483,0.175862069,0.206896552,0.255172414,0.006896552,0,0.744827586,0.155172414,0,0,0,0.010344828,0.089655172,0.020689655,0,0.093103448,0.127586207,0,0.037931034,0,0.127586207,0.379310345,0,0.003448276,0.068965517,0.003448276,0,0.720689655,0.35862069,0.065517241,0,0.106896552,0.193103448,0,0.168965517,0.062068966,0,0.555172414,0.334482759,0,0.086206897,0.189655172,0.206896552,0.006896552,0.068965517,0.151724138,0,0.296551724,0.237931034,0,0.072413793,0.017241379,0.044827586,0.04137931,0.162068966,0.006896552,0.003448276,0.203448276,0.082758621,0,0.182758621,0.051724138,0.15862069,0.031034483,0.116659742
309489,0.062068966,0,0.048275862,0,0.1,0.203448276,0,0.04137931,0.093103448,0,0.05862069,0.055172414,0.013793103,0,0.048275862,0,0.175862069,0.148275862,0.034482759,0.093103448,0,0.055172414,0.062068966,0,0,0.117241379,0.006896552,0.120689655,0.003448276,0,0,0.024137931,0,0.031034483,0.024137931,0,0.096551724,0.024137931,0,0.075862069,0.162068966,0,0,0.203448276,0,0.086206897,0.162068966,0,0.113793103,0,0.034482759,0.051724138,0,0,0.034482759,3.593103448,0.05862069,0,0.589655172,0.034482759,0.068965517,0.068965517,0,0,0.065517241,0.068965517,0.117241379,0,0.093103448,0.05862069,0,0.013793103,0.024137931,0.068965517,0,1.634482759,0.075862069,0,0.034482759,0.089655172,0,0.027586207,0.024137931,0.114167013
269781,0,0.134482759,0.220689655,0.010344828,0,0,0.489655172,0,0.272413793,0.137931034,0.406896552,0.234482759,0,0.234482759,0.14137931,0.203448276,0,0,0,0.465517241,0.268965517,0.320689655,0.355172414,0.013793103,0,0,0.003448276,0,0.013793103,0,0.006896552,0.106896552,0.05862069,0,0,0.175862069,0,0.044827586,0,0.327586207,0.406896552,0,0.013793103,0.117241379,0.010344828,0,0,0.472413793,0.251724138,0,0.220689655,0.244827586,0,0.168965517,0.137931034,0,0,0.472413793,0,0.096551724,0.337931034,0.168965517,0,0.186206897,0.120689655,0,0,0.2,0.003448276,0.093103448,0.020689655,0.082758621,0.079310345,0.293103448,0.010344828,0,0.003448276,0.062068966,0,0.265517241,0.051724138,0.213793103,0.006896552,0.114000831
denovo76,0.003448276,0.144827586,0.2,0.503448276,0.2,0,0.003448276,0,0.144827586,0.144827586,0.075862069,0.144827586,0,0.213793103,0.231034483,0.017241379,0.151724138,0.003448276,0.003448276,0.113793103,0.072413793,0.048275862,0.372413793,0.027586207,0,0.175862069,0.179310345,0,0.062068966,0.003448276,0.010344828,0.344827586,0.120689655,0,0.120689655,0.106896552,0,0.14137931,0,0.068965517,0.037931034,0.003448276,0.013793103,0.172413793,0.14137931,0.010344828,0.068965517,0.127586207,0.213793103,0,0.134482759,0.244827586,0,0.120689655,0.186206897,0,0.196551724,0.027586207,0.024137931,0.220689655,0.020689655,0.189655172,0.003448276,0.003448276,0.262068966,0,0.117241379,0.068965517,0.010344828,0.248275862,0.131034483,0.117241379,0.127586207,0.293103448,0.227586207,0,0.089655172,0.110344828,0.003448276,0.248275862,0.189655172,0.155172414,0.175862069,0.107145825
817507,0,0,0.110344828,0.006896552,0,0,0.255172414,0,0.1,0.051724138,0.003448276,0.075862069,0,0.006896552,0.048275862,0.093103448,0,3.748275862,0.051724138,0.296551724,0.162068966,0,0.148275862,0,0,0,0,0.05862069,0,0,0,0.020689655,0.010344828,0,0,0.144827586,0.193103448,0.062068966,0.04137931,0,0.25862069,0.027586207,0,0.048275862,0.003448276,0,0,0.231034483,0.127586207,0,0,0.1,0,0,0.037931034,0,0,0.231034483,1.303448276,0.034482759,0.003448276,0.065517241,0,0.006896552,0.034482759,0,0,0.124137931,0.020689655,0.103448276,0.003448276,0,0.024137931,0.082758621,0.003448276,0,0,0.044827586,0.010344828,0.137931034,0.024137931,0,0,0.105816369
4353625,0.034482759,0,0.031034483,0,0.068965517,0.179310345,0,0.013793103,0.031034483,0,0.072413793,0.051724138,0.006896552,0,0.037931034,0,0.120689655,0.148275862,0.013793103,0.05862069,0,0.079310345,0.072413793,0,0,0.1,0.027586207,0.103448276,0.003448276,0,0,0.013793103,0,0.027586207,0.003448276,0,0.055172414,0.027586207,0,0.1,0.248275862,0,0,0.155172414,0,0.05862069,0.165517241,0,0.065517241,0,0.020689655,0.103448276,0,0,0.020689655,3.437931034,0.05862069,0,0.365517241,0.013793103,0.068965517,0.044827586,0,0,0.051724138,0.024137931,0.082758621,0,0.031034483,0.027586207,0,0.006896552,0.031034483,0.044827586,0,1.837931034,0.068965517,0,0.024137931,0.127586207,0,0.031034483,0.031034483,0.105193187
1708706,0.144827586,0.065517241,0.075862069,0.062068966,0.144827586,0.148275862,0,0.179310345,0.086206897,0.096551724,0,0.024137931,0.04137931,0.05862069,0.131034483,0,0.110344828,0.062068966,0.186206897,0.027586207,0.024137931,0.024137931,0.024137931,0.203448276,0.079310345,0.086206897,0.189655172,0.196551724,0.134482759,0.079310345,0.2,0.134482759,0.062068966,0.220689655,0.213793103,0.079310345,0.244827586,0.227586207,0.172413793,0.017241379,0.003448276,0.244827586,0.220689655,0.124137931,0.089655172,0.203448276,0.048275862,0.020689655,0.113793103,0.134482759,0.096551724,0.051724138,0.1,0.027586207,0.137931034,0.027586207,0.013793103,0.010344828,0.068965517,0.110344828,0,0.04137931,0.14137931,0.010344828,0.113793103,0.227586207,0.189655172,0.010344828,0.165517241,0.131034483,0.124137931,0.151724138,0.106896552,0.034482759,0.110344828,0.05862069,0.05862069,0,0.203448276,0.037931034,0.05862069,0.013793103,0.086206897,0.098587453
2119418,0,0,0.179310345,0.027586207,0,0.020689655,0.437931034,0,0.255172414,0.113793103,0.017241379,0.303448276,0,0.006896552,0.165517241,0.189655172,0.003448276,0.065517241,0,0.568965517,0.379310345,0,0.379310345,0,0,0.010344828,0.003448276,0.010344828,0.003448276,0.006896552,0,0.168965517,0.04137931,0,0,0.165517241,0.003448276,0.034482759,0,0,0.486206897,0,0,0.096551724,0.006896552,0.006896552,0.006896552,0.45862069,0.220689655,0,0,0.262068966,0,0.006896552,0.106896552,0.093103448,0.017241379,0.524137931,0.020689655,0.217241379,0,0.296551724,0.006896552,0,0.227586207,0,0,0.324137931,0.006896552,0.14137931,0.006896552,0,0.04137931,0.237931034,0.013793103,0.082758621,0,0.068965517,0.010344828,0.348275862,0.044827586,0.006896552,0.006896552,0.095970087
4388545,0.04137931,0.048275862,0.006896552,0,0.062068966,0.024137931,0,0.020689655,0.062068966,0.006896552,0.386206897,0.365517241,0.013793103,0.006896552,0,0.037931034,0.079310345,0,0.055172414,0.003448276,0.024137931,0.020689655,0.010344828,0.020689655,0.020689655,0.003448276,0.024137931,0.055172414,0.027586207,0,0.017241379,0.003448276,0,0.024137931,0.010344828,0.203448276,0.034482759,0.013793103,0.006896552,0.031034483,0.265517241,0,0.010344828,0.003448276,0,0.037931034,0.010344828,0.04137931,0.003448276,0,0.010344828,0.055172414,0,0.182758621,0.013793103,2.834482759,0.089655172,0.055172414,0.003448276,0.031034483,0.120689655,0.444827586,0.093103448,0.193103448,0,0.003448276,0.051724138,0.017241379,0.003448276,0,0,0.013793103,0.031034483,0.006896552,0.003448276,0.968965517,0.027586207,0.034482759,0.006896552,0.006896552,0,0.017241379,0.079310345,0.090901537
268968,0,0,0.186206897,0.068965517,0,0,0.482758621,0,0.24137931,0.110344828,0,0.279310345,0,0.003448276,0.134482759,0.375862069,0,0,0,0.448275862,0.324137931,0.003448276,0.272413793,0,0,0,0.003448276,0,0.003448276,0,0,0.113793103,0.031034483,0,0.013793103,0.113793103,0,0.034482759,0,0,0.548275862,0,0,0.117241379,0.010344828,0,0,0.489655172,0.234482759,0.003448276,0.010344828,0.282758621,0,0,0.117241379,0.006896552,0.003448276,0.513793103,0,0.075862069,0.006896552,0.24137931,0,0,0.203448276,0,0,0.317241379,0,0.079310345,0.017241379,0,0.048275862,0.15862069,0.013793103,0.013793103,0,0.127586207,0,0.410344828,0.062068966,0.010344828,0.034482759,0.089198172
